event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.ab_tooltips_enabled,event_properties.titles
onb_goal_selection,1710953802256000,9463ea66-a85a-48d4-b0ee-f5645a24f913,9463ea66-a85a-48d4-b0ee-f5645a24f913_1710953780152,/,False,"['Get to know yourself better', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones']"
onb_goal_selection,1710954337129000,10f0e408-8881-4896-9011-82a4bdd4ca3c,10f0e408-8881-4896-9011-82a4bdd4ca3c_1710954248024,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710954462201000,70facd3e-c6b7-4678-97e8-c449d1c970ce,70facd3e-c6b7-4678-97e8-c449d1c970ce_1710954444106,/,False,['Improve your quality of life']
onb_goal_selection,1710956003271000,9a3cb6fb-d312-4e11-b938-7a9176bdb779,9a3cb6fb-d312-4e11-b938-7a9176bdb779_1710955982080,/,False,['Get to know yourself better']
onb_goal_selection,1710955936842000,754e052f-8455-4e6f-9391-dc29e0df1ebe,754e052f-8455-4e6f-9391-dc29e0df1ebe_1710955892277,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710956248341000,7be41001-5fbe-4e47-8866-e0637264b753,7be41001-5fbe-4e47-8866-e0637264b753_1710956229054,/,False,['Find your calling']
onb_goal_selection,1710956337488000,e3d05cd6-17d0-46b4-a0fb-c2e600ea1596,e3d05cd6-17d0-46b4-a0fb-c2e600ea1596_1710956311715,/,False,['Get to know yourself better']
onb_goal_selection,1710956299883000,fe485686-83ee-4ce4-98c2-de535dfc125d,fe485686-83ee-4ce4-98c2-de535dfc125d_1710956279022,/,False,['Find your calling']
onb_goal_selection,1710956845592000,b2da4615-0795-4a00-ab71-ee8ea90b3398,b2da4615-0795-4a00-ab71-ee8ea90b3398_1710956812237,/,False,"['Get to know yourself better', 'Improve your quality of life', 'Find your calling']"
onb_goal_selection,1710957335879000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,False,['Get to know yourself better']
onb_goal_selection,1710958941594000,fbaa7e63-3be5-436c-a7ce-56fe37336feb,fbaa7e63-3be5-436c-a7ce-56fe37336feb_1710958915804,/,False,"['Get to know yourself better', 'Improve your quality of life', 'Smooth out your relationships with loved ones']"
onb_goal_selection,1710958070301000,c034d34d-178d-4f00-8e38-0247c60f9a13,c034d34d-178d-4f00-8e38-0247c60f9a13_1710958042517,/,False,['Get to know yourself better']
onb_goal_selection,1710958312293000,b8d4d9a6-fe3f-4cfa-b9f2-be005da20913,b8d4d9a6-fe3f-4cfa-b9f2-be005da20913_1710958272412,/,False,['Improve your quality of life']
onb_goal_selection,1710958429320000,139e40f8-e1ae-4e99-a906-bd4e837c05d0,139e40f8-e1ae-4e99-a906-bd4e837c05d0_1710958404904,/,False,"['Get to know yourself better', 'Improve your quality of life', 'Smooth out your relationships with loved ones']"
onb_goal_selection,1710958588096000,0780ced4-b873-4600-aea0-65b555d79d91,0780ced4-b873-4600-aea0-65b555d79d91_1710958548376,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710958877031000,3cd5a1fe-a65e-4ea8-807e-c1708bc9e30c,3cd5a1fe-a65e-4ea8-807e-c1708bc9e30c_1710958823410,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710959215574000,fafe17ba-083d-4b4d-9502-634ab6418447,fafe17ba-083d-4b4d-9502-634ab6418447_1710959188542,/,False,['Лучше познать себя']
onb_goal_selection,1710959413477000,67ba6b68-0366-4be5-8fb3-b6dbb5378d42,67ba6b68-0366-4be5-8fb3-b6dbb5378d42_1710959383411,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710960050331000,f13ce10b-9919-4305-b4c6-6be9869ea6f2,f13ce10b-9919-4305-b4c6-6be9869ea6f2_1710959960291,/,False,['Improve your quality of life']
onb_goal_selection,1710960055524000,33566200-bfbf-45aa-81d2-cba9a7a51861,33566200-bfbf-45aa-81d2-cba9a7a51861_1710960024513,/,False,['Get to know yourself better']
onb_goal_selection,1710960497739000,a97cfd04-3554-4b6a-854a-9a3c51e14e6f,a97cfd04-3554-4b6a-854a-9a3c51e14e6f_1710960470179,/,False,['Get to know yourself better']
onb_goal_selection,1710960701660000,f7665812-d273-4ed7-87f7-b8dbe8034d4a,f7665812-d273-4ed7-87f7-b8dbe8034d4a_1710960670751,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710962435952000,a5687e3f-238b-4046-9630-203ac357133c,a5687e3f-238b-4046-9630-203ac357133c_1710962411514,/,False,['Get to know yourself better']
onb_goal_selection,1710963555025000,483a22d4-e28c-481a-a1a2-74947f57a4dc,483a22d4-e28c-481a-a1a2-74947f57a4dc_1710963539324,/,False,['Learn to love Yourself']
onb_goal_selection,1710900295187000,666b8437-0932-4c1c-9ed9-2dae32a31583,666b8437-0932-4c1c-9ed9-2dae32a31583_1710900248633,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Learn to love Yourself']"
onb_goal_selection,1710901299581000,a1aebf8a-ae35-49d3-8fbe-cc8c7b6e4f7a,a1aebf8a-ae35-49d3-8fbe-cc8c7b6e4f7a_1710901181541,/,False,['Get to know yourself better']
onb_goal_selection,1710901422993000,47906572-0bea-42fb-a516-ad379f3bac30,47906572-0bea-42fb-a516-ad379f3bac30_1710901377274,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Find your calling', 'Smooth out your relationships with loved ones']"
onb_goal_selection,1710901943371000,ce5e2ac1-c0ed-4b54-b142-7f4d2634c750,ce5e2ac1-c0ed-4b54-b142-7f4d2634c750_1710901908091,/,False,['Conócete mejor a ti mismo']
onb_goal_selection,1710902275198000,fa419654-fd24-4f79-bc38-664d3dfb73a1,fa419654-fd24-4f79-bc38-664d3dfb73a1_1710902252983,/,False,['Smooth out your relationships with loved ones']
onb_goal_selection,1710902970416000,d2b54ad0-dda0-4fe2-aab9-4663f5e86b54,d2b54ad0-dda0-4fe2-aab9-4663f5e86b54_1710902938133,/,False,"['Get to know yourself better', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710903547051000,1d8f7753-c780-42c7-aed1-fd6cf81d1716,1d8f7753-c780-42c7-aed1-fd6cf81d1716_1710903534110,/,False,['Embrace your emotions']
onb_goal_selection,1710965074427000,928668f1-1810-430d-9f4a-774d90b03208,928668f1-1810-430d-9f4a-774d90b03208_1710965056344,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710965318134000,0b248327-5ffa-4e85-9dc5-cd0ba69f85b9,0b248327-5ffa-4e85-9dc5-cd0ba69f85b9_1710965304777,/,False,"['Get to know yourself better', 'Smooth out your relationships with loved ones']"
onb_goal_selection,1710965420046000,ea05cd28-2199-4434-8d12-111e717bdd4e,ea05cd28-2199-4434-8d12-111e717bdd4e_1710965404973,/,False,"['Get to know yourself better', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710965725008000,ca5649b8-721f-43f4-82ab-0e849c0c3cb6,ca5649b8-721f-43f4-82ab-0e849c0c3cb6_1710965663409,/,False,['Learn to love Yourself']
onb_goal_selection,1710965735364000,ca5649b8-721f-43f4-82ab-0e849c0c3cb6,ca5649b8-721f-43f4-82ab-0e849c0c3cb6_1710965663409,/,False,['Learn to love Yourself']
onb_goal_selection,1710965821370000,3ba228ef-1ed4-48df-9ae7-c3df74edf878,3ba228ef-1ed4-48df-9ae7-c3df74edf878_1710965803197,/,False,['Get to know yourself better']
onb_goal_selection,1710965935715000,5442d238-a38c-4c72-a128-bdfb8ee1734f,5442d238-a38c-4c72-a128-bdfb8ee1734f_1710965922715,/,False,['Get to know yourself better']
onb_goal_selection,1710966062462000,df9628c5-d63a-43a5-8dfe-95dbcf1dbf47,df9628c5-d63a-43a5-8dfe-95dbcf1dbf47_1710966029583,/,False,"['Conócete mejor a ti mismo', 'Abraza tus emociones', 'Mejora tu calidad de vida', 'Encuentra tu llamado', 'Suavizar tus relaciones con seres queridos', 'Aprende a amarte a ti mismo']"
onb_goal_selection,1710966925486000,d2aa1270-ea72-4a2f-a074-6dd83bd73cb9,d2aa1270-ea72-4a2f-a074-6dd83bd73cb9_1710966895000,/,False,['Get to know yourself better']
onb_goal_selection,1710967413892000,f4950df9-de8d-437a-8375-7061cbc23ca6,f4950df9-de8d-437a-8375-7061cbc23ca6_1710967371302,/,False,['Embrace your emotions']
onb_goal_selection,1710967721665000,e7ed50a7-0116-4e99-b657-1dc9e7151ffa,e7ed50a7-0116-4e99-b657-1dc9e7151ffa_1710967690977,/,False,['Smooth out your relationships with loved ones']
onb_goal_selection,1710967858655000,b27b8466-7c6e-42d0-b1e7-340f48334298,b27b8466-7c6e-42d0-b1e7-340f48334298_1710967824233,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710968508640000,a60794ca-79b1-4ec7-87cc-16640749552c,a60794ca-79b1-4ec7-87cc-16640749552c_1710968479993,/,False,['Smooth out your relationships with loved ones']
onb_goal_selection,1710968888131000,faec4d66-82b0-445c-80be-51e1869d3f76,faec4d66-82b0-445c-80be-51e1869d3f76_1710968843889,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710969600940000,ea494e5f-c230-4ff0-a871-a3358ce15f20,ea494e5f-c230-4ff0-a871-a3358ce15f20_1710969505916,/,False,"['Get to know yourself better', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones']"
